Project,Name,Dynapyt CG,PyCG,callers dyna,callers pycg,callees dyna,callees pycg,edges dyna,edges pycg,intersec callers,intersec callees,intersec edges,coverage,nloc
1,grab,x,x,122,3642,234,3251,367,7770,121,122,205,92,4663
2,pythonRobotics,x,timeout,o,,,,,,,,,,18629
3,flask-api,x,x,51,185,112,74,169,183,50,49,84,96,1638
4,schedule,x,x,40,94,65,45,98,75,37,32,44,99,1314
5,pillow,x,timeout,o,,,,,,,,,76,41017
6,supervisor,x,x,13,,22,22,26,3851,13,10,12,89,28536
7,streamparse,x,x,74,626,124,93,287,991,74,60,145,48,4580
8,dh-virtualenv,x,x,18,,66,32,94,102,18,32,27,84,1305
9,pdoc,x,x,85,883,178,271,279,1387,83,105,169,92,10882
10,click,x,"Memory full, process killed",o,,,,,,,,,86,10776
11,delegator,x,x,9,62,18,22,19,50,9,12,13,100,289
12,patterns,x,x,48,433,73,31,92,231,47,26,33,91,1906
13,uvicorn,x,x,8,1721,13,17,17,2653,8,6,10,95,7992
14,pydub,x,x,,,,,,,,,,not using pytest,3221
15,jwt,x,x,45,233,90,74,146,293,45,51,85,51,4126
16,cerberus,x,x,18,319,44,37,59,468,18,26,33,95,5548
17,python-diskcache,x,x,0,,,,,,,,,96,7034
18,errbot,x,x,103,1282,186,192,300,1746,99,98,153,78,11620
19,black,x,x,38,1045,68,71,100,1711,36,17,27,84,106272
20,thefuck,x,x,39,1086,25,34,57,1537,38,16,46,94,10520
21,python-future,x,timeout,o,,,,,,,,,71,41898
22,decouple,x,x,17,59,68,32,81,50,17,19,24,98,524
23,arrow,x,x,9,261,15,14,16,372,9,9,9,100,14427
24,pudb,x,x,52,672,132,119,186,1145,48,67,103,31,5624
25,akshare,x,x,27,3466,50,97,89,14378,27,23,48,14,60874
26,seaborn,x,IndexError: list index out of range,o,,,,,,,,,95,34629
27,pyfilesystem2,x,timeout,o,,,,,,,,,91,13365
28,wtforms,x,x,151,2067,308,130,539,3385,151,59,146,98,11837
29,funcy,x,x,211,433,375,178,756,639,192,144,351,92,3119
30,graphene,x,"Memory full, process killed",o,,,,,,,,,88,8830
31,geopy,x,x,81,517,95,80,205,806,81,66,130,88,10041
32,pyquery,x,x,23,228,33,23,51,283,22,17,22,51,2158
33,requests,x,x,146,1016,279,806,492,1266,144,164,284,83,6744
35,blinker,x,x,28,93,73,36,95,91,27,21,30,90,901
36,zerorpc,x,x,60,306,91,87,134,352,60,39,50,74,3908
37,elasticsearch-dsl,x,x,199,730,241,286,525,945,199,106,230,81,9156
38,marshmallow,x,x,53,554,37,31,56,709,23,17,26,98,11386
39,pypdf,x,timeout,,,,,,,,,,91,4378
40,lektor,x,error maximum recurssion depth,,,,,,,,,,49,2267
41,celery,x,timeout,,,,,,,,,,,56902
45,furl,x,x,56,213,77,92,131,266,55,46,83,99,2984
46,moviepy,x,x,,,,,,,,,,84,10597
47,webassets,x,"memory full, process killed",,,,,,,,,,79,8397
48,html2text,x,x,27,109,57,79,76,125,26,38,49,97,1551
50,gunicorn,x,x,7,1022,23,13,26,1471,7,9,9,83,8437
52,mezzanine,x,x,14,1687,42,36,62,2515,14,17,28,68,48261
53,code2flow,x,x,20,215,56,61,81,379,20,31,43,60,5480
56,pickledb,x,x,19,59,15,15,26,46,19,11,21,81,459
57,pyvips,x,x,74,3838,142,3291,238,4102,69,46,100,73,3980
58,structlog,x,x,13,440,32,32,37,405,13,9,11,92,6698
,,50,39,1998,29596,3559,9804,6012,56778,1919,1620,2883,81.80851064,681680
,,,"6 timeout, 3 memory full, index error, max reccursion",,,,,,,,,,26,
